origin,month,basso_count,basso_dep_delay_avg,basso_arr_delay_avg,medio_count,medio_dep_delay_avg,medio_arr_delay_avg,alto_count,alto_dep_delay_avg,alto_arr_delay_avg,top_causa_1,top_causa_2,top_causa_3
ABE,1,45,6.533333333333333,-0.7111111111111111,31,34.32258064516129,32.5,30,241.3,234.03333333333333,nas_delay,carrier_delay,late_aircraft_delay
ABE,2,32,6.03125,-6.09375,20,29.7,10.105263157894736,14,227.92857142857142,217.92857142857142,nas_delay,carrier_delay,late_aircraft_delay
ABE,3,47,7.25531914893617,-6.574468085106383,28,30.678571428571427,19.892857142857142,23,173.43478260869566,163.3913043478261,late_aircraft_delay,nas_delay,carrier_delay
ABE,4,39,5.564102564102564,-4.82051282051282,29,33.44827586206897,27.655172413793103,29,258.6551724137931,250.3793103448276,carrier_delay,late_aircraft_delay,nas_delay
ABE,5,44,6.386363636363637,2.1818181818181817,26,30.076923076923077,29.576923076923077,40,180.625,177.12820512820514,nas_delay,late_aircraft_delay,carrier_delay
ABE,6,41,5.7073170731707314,-1.170731707317073,38,27.394736842105264,17.216216216216218,38,173.92105263157896,172.32432432432432,carrier_delay,late_aircraft_delay,nas_delay
ABE,7,37,6.081081081081081,-0.918918918918919,41,34.609756097560975,30.146341463414632,37,138.0810810810811,137.0810810810811,late_aircraft_delay,carrier_delay,nas_delay
ABE,8,34,5.676470588235294,3.5,42,32.023809523809526,27.976190476190474,27,146.96296296296296,144.2962962962963,late_aircraft_delay,nas_delay,carrier_delay
ABE,9,31,7.161290322580645,-0.03225806451612903,25,37.84,32.875,16,265.0625,261.25,late_aircraft_delay,carrier_delay,nas_delay
ABE,10,40,6.6,-3.45,31,26.225806451612904,11.96774193548387,18,193.16666666666666,183.83333333333334,carrier_delay,late_aircraft_delay,nas_delay
ABE,11,39,6.846153846153846,-3.6923076923076925,24,31.625,21.75,14,165.21428571428572,152.42857142857142,late_aircraft_delay,carrier_delay,nas_delay
ABE,12,50,6.74,0.8979591836734694,34,32.5,24.575757575757574,34,229.02941176470588,222.14705882352942,carrier_delay,late_aircraft_delay,nas_delay
ABI,1,17,6.764705882352941,10.941176470588236,11,38.90909090909091,36.72727272727273,13,113.46153846153847,123.84615384615384,late_aircraft_delay,nas_delay,weather_delay
ABI,2,10,7.4,12.0,8,33.875,33.75,1,99.0,88.0,nas_delay,late_aircraft_delay,carrier_delay
ABI,3,17,5.882352941176471,5.588235294117647,13,24.076923076923077,27.076923076923077,12,132.66666666666666,134.08333333333334,late_aircraft_delay,nas_delay,carrier_delay
ABI,4,18,6.5,4.222222222222222,15,31.466666666666665,29.6,12,129.66666666666666,126.16666666666667,late_aircraft_delay,weather_delay,nas_delay
ABI,5,20,5.9,0.35,26,27.884615384615383,25.03846153846154,22,190.6818181818182,195.5909090909091,late_aircraft_delay,nas_delay,carrier_delay
ABI,6,18,8.88888888888889,5.333333333333333,18,28.333333333333332,25.72222222222222,13,116.53846153846153,108.76923076923077,late_aircraft_delay,nas_delay,carrier_delay
ABI,7,20,6.15,1.1,23,30.130434782608695,30.869565217391305,10,127.0,122.5,late_aircraft_delay,nas_delay,carrier_delay
ABI,8,17,6.117647058823529,2.0588235294117645,12,27.25,22.666666666666668,2,91.5,89.5,late_aircraft_delay,carrier_delay,nas_delay
ABI,9,14,7.214285714285714,3.7857142857142856,14,28.428571428571427,23.428571428571427,8,108.875,99.125,late_aircraft_delay,carrier_delay,nas_delay
ABI,10,15,7.466666666666667,0.06666666666666667,3,32.0,32.0,4,135.5,125.5,late_aircraft_delay,carrier_delay,nas_delay
ABI,11,17,5.647058823529412,2.8823529411764706,8,31.125,25.5,6,106.16666666666667,105.0,late_aircraft_delay,nas_delay,weather_delay
ABI,12,18,6.277777777777778,7.666666666666667,7,28.714285714285715,21.571428571428573,12,111.0,117.08333333333333,nas_delay,late_aircraft_delay,carrier_delay
ABQ,1,275,5.905454545454545,1.9525547445255473,200,30.94,26.28,116,137.94827586206895,134.58620689655172,late_aircraft_delay,nas_delay,carrier_delay
ABQ,2,293,6.027303754266212,0.46075085324232085,156,31.128205128205128,28.92948717948718,65,155.35384615384615,155.875,nas_delay,late_aircraft_delay,carrier_delay
ABQ,3,347,6.066282420749279,0.9106628242074928,251,31.266932270916335,25.828,117,186.94871794871796,185.94871794871796,late_aircraft_delay,carrier_delay,nas_delay
