ABE,2,23,5.956521739130435,-5.260869565217392,9,29.88888888888889,3.625,6,299.8333333333333,293.6666666666667,nas_delay,carrier_delay,late_aircraft_delay
ABE,3,29,6.931034482758621,-5.896551724137931,14,34.5,25.785714285714285,9,175.66666666666666,161.11111111111111,late_aircraft_delay,nas_delay,carrier_delay
ABE,4,20,5.95,-4.95,16,36.6875,22.5,15,288.73333333333335,283.06666666666666,carrier_delay,late_aircraft_delay,nas_delay
ABE,5,24,6.375,-0.2916666666666667,13,33.76923076923077,35.38461538461539,16,153.125,151.125,nas_delay,late_aircraft_delay,carrier_delay
ABE,6,24,5.708333333333333,-1.375,13,33.38461538461539,19.076923076923077,22,165.04545454545453,161.95454545454547,late_aircraft_delay,carrier_delay,nas_delay
ABE,7,13,6.923076923076923,3.6153846153846154,21,29.523809523809526,19.952380952380953,19,109.52631578947368,108.78947368421052,carrier_delay,late_aircraft_delay,nas_delay
ABE,8,16,6.75,3.1875,27,35.74074074074074,37.25925925925926,14,153.21428571428572,153.78571428571428,late_aircraft_delay,nas_delay,carrier_delay
ABE,9,20,6.05,-0.95,11,42.0,36.7,8,191.5,188.25,late_aircraft_delay,carrier_delay,nas_delay
ABE,10,18,5.833333333333333,-4.722222222222222,12,30.833333333333332,16.916666666666668,11,159.0909090909091,144.45454545454547,carrier_delay,late_aircraft_delay,nas_delay
ABE,11,22,5.863636363636363,-2.9545454545454546,15,31.733333333333334,18.933333333333334,5,168.8,155.0,carrier_delay,late_aircraft_delay,nas_delay
