origin,month,basso_count,basso_dep_delay_avg,basso_arr_delay_avg,medio_count,medio_dep_delay_avg,medio_arr_delay_avg,alto_count,alto_dep_delay_avg,alto_arr_delay_avg,top_causa_1,top_causa_2,top_causa_3
ABE,1,15,5.466666666666667,-0.13333333333333333,14,31.928571428571427,27.0,12,244.75,240.25,nas_delay,late_aircraft_delay,carrier_delay
ABE,2,23,5.956521739130435,-5.260869565217392,9,29.88888888888889,3.625,6,299.8333333333333,293.6666666666667,nas_delay,carrier_delay,late_aircraft_delay
ABE,3,29,6.931034482758621,-5.896551724137931,14,34.5,25.785714285714285,9,175.66666666666666,161.11111111111111,late_aircraft_delay,nas_delay,carrier_delay
ABE,4,20,5.95,-4.95,16,36.6875,22.5,15,288.73333333333335,283.06666666666666,carrier_delay,late_aircraft_delay,nas_delay
ABE,5,24,6.375,-0.2916666666666667,13,33.76923076923077,35.38461538461539,16,153.125,151.125,nas_delay,late_aircraft_delay,carrier_delay
ABE,6,24,5.708333333333333,-1.375,13,33.38461538461539,19.076923076923077,22,165.04545454545453,161.95454545454547,carrier_delay,late_aircraft_delay,nas_delay
ABE,7,13,6.923076923076923,3.6153846153846154,21,29.523809523809526,19.952380952380953,19,109.52631578947368,108.78947368421052,carrier_delay,late_aircraft_delay,nas_delay
ABE,8,16,6.75,3.1875,27,35.74074074074074,37.25925925925926,14,153.21428571428572,153.78571428571428,late_aircraft_delay,nas_delay,carrier_delay
ABE,9,20,6.05,-0.95,11,42.0,36.7,8,191.5,188.25,late_aircraft_delay,carrier_delay,nas_delay
ABE,10,18,5.833333333333333,-4.722222222222222,12,30.833333333333332,16.916666666666668,11,159.0909090909091,144.45454545454547,carrier_delay,late_aircraft_delay,nas_delay
ABE,11,22,5.863636363636363,-2.9545454545454546,15,31.733333333333334,18.933333333333334,5,168.8,155.0,late_aircraft_delay,carrier_delay,nas_delay
ABE,12,23,6.086956521739131,0.8181818181818182,18,30.5,23.944444444444443,17,250.94117647058823,244.88235294117646,carrier_delay,late_aircraft_delay,nas_delay
ABI,1,9,6.888888888888889,10.0,5,40.0,38.4,6,135.0,145.33333333333334,late_aircraft_delay,nas_delay,weather_delay
ABI,2,7,7.571428571428571,10.0,5,36.4,35.8,0,"","",nas_delay,late_aircraft_delay,carrier_delay
ABI,3,9,6.444444444444445,5.777777777777778,6,21.833333333333332,24.166666666666668,4,139.0,151.5,nas_delay,late_aircraft_delay,carrier_delay
ABI,4,8,7.0,7.5,9,32.333333333333336,29.11111111111111,4,76.75,65.25,late_aircraft_delay,carrier_delay,nas_delay
ABI,5,9,6.333333333333333,1.1111111111111112,12,25.083333333333332,16.75,9,176.88888888888889,187.55555555555554,late_aircraft_delay,nas_delay,weather_delay
ABI,6,8,7.125,6.75,9,26.666666666666668,22.88888888888889,7,100.85714285714286,93.0,late_aircraft_delay,nas_delay,carrier_delay
ABI,7,9,5.444444444444445,1.3333333333333333,12,21.583333333333332,28.166666666666668,3,98.66666666666667,90.0,late_aircraft_delay,nas_delay,carrier_delay
ABI,8,6,7.166666666666667,7.5,2,21.0,17.0,2,91.5,89.5,late_aircraft_delay,carrier_delay,nas_delay
ABI,9,6,7.166666666666667,4.0,5,24.0,16.0,4,117.0,109.0,nas_delay,carrier_delay,late_aircraft_delay
ABI,10,6,6.333333333333333,0.6666666666666666,2,40.5,41.0,2,162.0,152.5,late_aircraft_delay,carrier_delay,nas_delay
ABI,11,7,5.571428571428571,7.142857142857143,4,36.25,31.75,3,104.33333333333333,101.0,late_aircraft_delay,nas_delay,weather_delay
ABI,12,10,5.4,7.8,5,24.6,17.8,6,131.5,147.5,nas_delay,late_aircraft_delay,carrier_delay
ABQ,1,138,6.028985507246377,2.2481751824817517,102,31.637254901960784,27.176470588235293,70,139.05714285714285,134.9142857142857,late_aircraft_delay,nas_delay,carrier_delay
ABQ,2,138,5.688405797101449,-0.12318840579710146,75,30.2,26.013333333333332,34,137.76470588235293,137.8235294117647,nas_delay,late_aircraft_delay,carrier_delay
ABQ,3,170,6.135294117647059,0.7705882352941177,125,31.104,25.44,49,231.59183673469389,231.48979591836735,late_aircraft_delay,carrier_delay,nas_delay
ABQ,4,180,5.433333333333334,-2.2333333333333334,148,31.885135135135137,25.472972972972972,49,143.69387755102042,139.89795918367346,late_aircraft_delay,carrier_delay,nas_delay
ABQ,5,188,6.6861702127659575,0.14516129032258066,174,30.20689655172414,24.436781609195403,84,148.14285714285714,145.02439024390245,late_aircraft_delay,carrier_delay,nas_delay
ABQ,6,209,5.732057416267943,1.2057416267942584,176,29.75,25.405714285714286,71,147.80281690140845,146.33802816901408,late_aircraft_delay,carrier_delay,nas_delay
ABQ,7,220,5.859090909090909,0.776255707762557,180,33.855555555555554,29.27777777777778,88,140.4431818181818,136.13636363636363,late_aircraft_delay,carrier_delay,nas_delay
ABQ,8,161,6.167701863354037,1.76875,113,30.371681415929203,27.79646017699115,58,157.13793103448276,153.6551724137931,late_aircraft_delay,carrier_delay,nas_delay
ABQ,9,148,5.587837837837838,-1.222972972972973,121,27.74380165289256,22.058333333333334,39,138.3846153846154,132.74358974358975,late_aircraft_delay,carrier_delay,nas_delay
ABQ,10,231,5.432900432900433,0.6347826086956522,98,28.591836734693878,21.591836734693878,35,131.05714285714285,128.0857142857143,carrier_delay,late_aircraft_delay,nas_delay
ABQ,11,177,5.305084745762712,1.4545454545454546,99,29.252525252525253,28.050505050505052,36,138.0,139.22222222222223,nas_delay,late_aircraft_delay,carrier_delay
ABQ,12,173,6.358381502890174,0.6763005780346821,115,30.85217391304348,24.356521739130436,46,181.95652173913044,184.54545454545453,late_aircraft_delay,carrier_delay,nas_delay
ABR,1,3,5.333333333333333,-12.666666666666666,3,21.0,3.6666666666666665,4,126.75,120.25,carrier_delay,canc_B,weather_delay
ABR,2,3,6.0,-5.0,1,49.0,31.0,2,321.0,304.5,weather_delay,carrier_delay,Nessuna
ABR,3,2,1.5,-5.5,3,27.0,11.666666666666666,3,125.33333333333333,106.33333333333333,carrier_delay,weather_delay,Nessuna
ABR,4,5,6.2,-6.0,1,18.0,-4.0,3,365.6666666666667,344.0,carrier_delay,weather_delay,Nessuna
ABR,5,2,3.5,-4.0,0,"","",3,87.66666666666667,78.0,carrier_delay,weather_delay,Nessuna
ABR,6,6,4.5,6.833333333333333,5,39.2,57.6,3,293.3333333333333,309.3333333333333,carrier_delay,nas_delay,weather_delay
ABR,7,4,7.5,-3.5,3,41.666666666666664,36.0,4,81.25,91.0,carrier_delay,nas_delay,weather_delay
ABR,8,4,10.75,7.75,4,25.25,39.5,2,339.0,343.0,nas_delay,weather_delay,carrier_delay
ABR,9,1,3.0,-4.0,0,"","",1,126.0,120.0,carrier_delay,Nessuna,Nessuna
ABR,10,2,1.5,-10.5,2,30.0,13.0,1,82.0,73.0,carrier_delay,Nessuna,Nessuna
ABR,11,3,1.6666666666666667,-4.0,2,21.0,14.0,2,99.5,85.5,carrier_delay,Nessuna,Nessuna
ABR,12,5,5.2,4.6,3,24.666666666666668,24.333333333333332,6,434.0,429.6666666666667,carrier_delay,nas_delay,weather_delay
ABY,1,5,6.6,-1.0,4,27.5,21.0,3,197.33333333333334,194.33333333333334,carrier_delay,nas_delay,Nessuna
ABY,2,0,"","",5,30.6,18.8,2,135.5,122.0,weather_delay,carrier_delay,Nessuna
ABY,3,3,4.666666666666667,3.6666666666666665,1,57.0,53.0,1,61.0,52.0,carrier_delay,Nessuna,Nessuna
ABY,4,1,1.0,-7.0,6,34.0,37.833333333333336,0,"","",carrier_delay,nas_delay,weather_delay
ABY,5,2,5.5,2.0,4,42.25,44.5,6,131.5,128.83333333333334,carrier_delay,nas_delay,weather_delay
ABY,6,2,10.5,1.5,3,48.0,44.0,3,67.66666666666667,57.0,carrier_delay,Nessuna,Nessuna
ABY,7,2,11.5,2.5,5,33.2,34.8,7,217.28571428571428,210.57142857142858,carrier_delay,nas_delay,weather_delay
ABY,8,1,7.0,-11.0,4,30.75,24.0,4,451.25,444.25,carrier_delay,weather_delay,Nessuna
ABY,9,2,9.5,9.5,3,37.0,40.666666666666664,3,81.66666666666667,78.66666666666667,carrier_delay,nas_delay,weather_delay
ABY,10,5,5.8,4.6,2,55.5,42.5,0,"","",carrier_delay,nas_delay,Nessuna
ABY,11,2,4.0,5.0,3,33.0,31.666666666666668,3,190.0,195.0,carrier_delay,nas_delay,weather_delay
ABY,12,2,13.5,22.5,2,19.5,5.5,9,249.0,251.55555555555554,carrier_delay,nas_delay,weather_delay
ACK,5,2,5.0,-0.5,7,39.142857142857146,35.0,7,180.14285714285714,182.85714285714286,nas_delay,late_aircraft_delay,carrier_delay
ACK,6,14,8.142857142857142,4.142857142857143,12,38.333333333333336,39.083333333333336,21,181.76190476190476,178.76190476190476,late_aircraft_delay,nas_delay,carrier_delay
ACK,7,19,6.368421052631579,4.473684210526316,32,34.6875,34.6875,30,130.53333333333333,134.23333333333332,late_aircraft_delay,nas_delay,carrier_delay
ACK,8,25,6.32,5.08,21,33.38095238095238,35.142857142857146,19,203.68421052631578,203.73684210526315,nas_delay,late_aircraft_delay,carrier_delay
ACK,9,4,7.0,11.5,6,33.5,38.5,6,131.16666666666666,129.5,late_aircraft_delay,nas_delay,carrier_delay
ACK,10,1,1.0,3.0,3,27.0,22.0,1,286.0,278.0,nas_delay,late_aircraft_delay,carrier_delay
ACT,1,2,8.0,-0.5,7,39.142857142857146,36.857142857142854,3,167.0,160.0,carrier_delay,canc_B,nas_delay
ACT,2,6,4.833333333333333,7.666666666666667,1,43.0,40.0,1,72.0,58.0,nas_delay,carrier_delay,late_aircraft_delay
ACT,3,6,6.0,6.666666666666667,5,26.4,19.0,1,95.0,82.0,nas_delay,late_aircraft_delay,canc_B
ACT,4,8,6.0,5.0,5,34.0,31.4,2,89.5,93.0,carrier_delay,late_aircraft_delay,nas_delay
ACT,5,2,6.5,2.5,1,27.0,24.0,7,140.71428571428572,138.71428571428572,canc_B,carrier_delay,weather_delay
ACT,6,5,7.2,2.0,10,29.4,25.5,9,125.11111111111111,129.55555555555554,carrier_delay,late_aircraft_delay,nas_delay
ACT,7,2,8.0,3.0,4,48.0,43.25,2,115.5,112.5,nas_delay,weather_delay,carrier_delay
ACT,8,5,9.8,11.8,4,41.5,46.5,3,122.0,126.66666666666667,carrier_delay,late_aircraft_delay,nas_delay
ACT,9,4,5.25,1.0,6,22.333333333333332,18.666666666666668,4,174.75,166.5,carrier_delay,nas_delay,late_aircraft_delay
